word,pos,definition
AIDS,abbreviation,"AIDS is defined as an abbreviation for for Acquired Immune Deficiency Syndrome and is caused by the HIV virus.Facts About AIDS and HIVHIV stands for Human Immunodeficiency Virus, a virus that can be contracted in a small number of ways.Once someone contracts the HIV virus from an infected person, the viral cells attach to CD4 lymphocyte helper cells within the body. Typically these types of cells are used to combat common infections within the human body; they are an essential part of the immune system.The viral cells continue to attach themselves to the CD4 cells and then multiply to destroy them; eventually those affected with HIV become unable to combat both common and uncommon infections.When this happens the patient is said to have full blown AIDS.AIDS is also diagnosed when amount of CD4 helpers left in the body drops below a certain required amount.The first cases of HIV were reported in the United States in 1981 in the cities of San Francisco and New York. Today those affected by the HIV virus can be found throughout the United States and the world.According to the World Health Organization (WHO), there were 33.3 million people living in the world with HIV as of 2010.As of 2010, over 22 million of the 33.3 million adults and children with HIV lived in African countries where the economy allows limited access to the medications needed to treat and suppress the disease. The lowest number of cases is found in North Africa, with the Sudan showing the highest HIV concentration in that region.By the end of 2008, two million people had died of AIDS with 1.9 million of these people living in Africa."
all,adjective,The definition of all is the entire amount.
allied,adjective,Allied is defined as two or more things that are similar or related to each other.
allied,adjective,"The definition of allied is two or more individuals, organizations, or countries who are working together toward the same purpose as a result of a mutual agreement."
along,adverb,Along is length or placement.
 ,preposition,"Along is defined as to be next to, or to abut something."
 ,preposition,The definition of along is something that happens during an activity.
 ,preposition,Along is adhere or stand by.
 ,verb,"Along, when prefaced by the word “get,” is defined as to be pleasant with someone else."
already,adverb,Already is defined as something that happened before a specific time.
always,adverb,Always means lasting and unending.
always,adverb,Always is defined as doing something regularly.
am,abbreviation,"The definition of am means ante meridiem in Latin, which means before 12 noon."
 ,verb,The definition of am is a verb that is used with the word I as the first person singular version of the verb be.
Amazon,noun,"In mythology, an Amazon was defined as a female in battle known to live in Pontus, close to the Black Sea."
Amazon,noun,The definition of an amazon is a woman possessing extraordinary height and strength.
Amazon,noun,"The Amazon, in South America, is the largest river in the world."
ambrosia,noun,The definition of ambrosia is a sweet fruit dessert salad that has a thick custard-like consistency.
ambrosia,noun,"In mythology, ambrosia is defined as the food or drink of the Greek Gods."
ambrosia,noun,Ambrosia is defined as any food or aroma that is remarkably pleasant to taste or smell.
America,noun,The definition of America is the term most often used to refer to the United States.
American,adjective,American describes a person or thing from the United States of America.
American,adjective,"The definition of American refers to any person or thing related to, or aboriginal to, North or South America."
 ,noun,The definition of an American is someone who is a natural born or naturalized citizen of the United States.
 ,noun,An American is defined as someone who lives in North or South America.
among,preposition,"The definition of among is being in a group things, usually more than two, or being part of a group."
an,adjective,The definition of an is a word used in place of the word “a” when the following word begins with a vowel sound.
analogue,noun,The definition of an analogue is a thing or person that is like something else in some ways.
analyse,verb,"The definition of analyse, commonly spelled analyze, means to learn about something by looking closely at its individual parts and determining how they work together."
and,conjunction,"And is used to express also, in addition, moreover, then, besides, at the same time and plus."
annotation,noun,The definition of an annotation is an added note that explains something in a text.
anoint,verb,The definition of anoint means to smear or rub with oil.
another,adjective,Another is defined as an additional amount.
another,adjective,Another means someone or something that is not the same.
another,adjective,Another refers to someone of something that is comparable or alike.
 ,pronoun,"The definition of another is one more of a person, place or thing."
 ,pronoun,Another refers to something that is dissimilar.
 ,pronoun,Another can refer to doubling something.
answer,noun,The definition of an answer is a response to a question or inquiry that can be given orally or in written form.
answer,noun,An answer is defined as something that is similar or a close copy.
 ,verb,"To answer is defined as to give a response to a question in either an oral or written manner, or by a physical gesture."
 ,verb,Answer means to deal with a result of something.
Antarctic,adjective,The definition of Antarctic is anything that is closely located or related to the South Pole.
any,adjective,"The definition of any is a quantity, and can be used in place of some or one."
any,adjective,Any refers to a selection of several things.
 ,adverb,Any is defined as an amount or degree.
 ,pronoun,Any can be used to refer in vague terms to a person or people.
app,noun,The definition of an app is short for application and is software for use on a smart phone or computer.
appal,verb,The definition of appal means to shock or amaze in a negative way.
archaeologist,noun,"The definition of an archaeologist is a person who studies human history, particularly the culture of historic and prehistoric people, through discovery and exploration of remains, structures and writings."
archaeology,noun,"The definition of archaeology is the study of human history, particularly the culture of historic and prehistoric people through the discovery and exploration of remains, structures and writings."
Arctic,adjective,"Arctic is defined as a way to describe something very cold, like freezing icy temperatures or a person’s disinterested or chilly attitude."
Arctic,adjective,The definition of Arctic is a name for anything associated with the North Pole region.
 ,noun,An Arctic means a waterproof shoe that is worn over a regular shoe.
are,verb,"The definition of are is a plural, present tense conjugation of the verb be."
arose,verb,"The definition of arose is for something to come up or originate, or for someone to stand up."
ashen,adjective,The definition of ashen is being gray or ash colored.
ask,verb,"To ask is to inquire about something in order to get an answer, response or action."
aspiring,adjective,"The definition of aspiring is looking forward to something with great desire, hoping for some dream or goal to come true, or working towards making something happen."
assuming,verb,The definition of assuming is the action of formulating or verbalizing an idea for which there is no evidence.
assuming,verb,Assuming is defined as taking on responsibility or fulfilling the obligations of someone else's position by taking over his job.
assuming,verb,Assuming means fulfilling the obligations of someone else's position by taking over his job.
at,preposition,"The definition of at is to show position, to show something that an action refers to, or to show a condition or something that is happening."
atavism,noun,The definition of an atavism is a genetic trait that reoccurs after skipping several generations.
ate,suffix,"The definition of ate as a suffix is to indicate the salt of an acid, or is used to show offices, functions, institutions or leaders."
 ,verb,The definition of ate is to have eaten.
August,noun,The definition of August is a month on the Gregorian calendar that is 31 days in length which comes after July and before September.
Australia,noun,"The definition of Australia is the name of one of the seven continents of the world and includes the countries of Australia, New Guinea, the Aru Islands, and the Raja Ampat Islands."
automaton,noun,The definition of an automaton is a self-propelled or self-powered machine.
baby,noun,The definition of a baby is an extremely young child or animal.
back,adjective,The definition of back is in the rear.
 ,noun,Back means the rear of something.
 ,verb,Back is defined as to support or to move in a backward motion.
bandy,verb,The definition of bandy means to throw something or an idea like a ball back and forth.
bank,noun,Bank is defined as a long pile or mound.
bank,noun,"The definition of a bank is a place that receives, lends, exchanges and protects money."
 ,verb,Bank means to pile up or build up.
based,suffix,Based is used with a location and is defined to show where something is situated.
based,suffix,The definition of based means having something as its major element.
bauble,noun,The definition of a bauble is a showy ornament or decoration of little value.
be,verb,The definition of be is to exist or to exist as an example of something.
before,adverb,"The definition of before is something that happened before another thing, or something that was in front of or before another."
,preposition,Before is defined as a previous time.
beg,verb,"The definition of beg means to plead for something, especially for money or assistance."
beginning,adjective,The definition of beginning is something that is in the early stages or the first portion of something.
,noun,Beginning means the moment or place when something started.
behaviour,noun,The definition of behaviour is the British spelling for the way a person or thing acts.
believe,verb,The definition of believe means to have confidence in the truth of something.
best,adjective,The definition of best is better than all others.
,adverb,Best means in the greatest advantage or manner.
,noun,Best is defined as the greatest degree or highest efforts.
bestial,adjective,"The definition of bestial is savage, or like a beast or wild animal."
better,adjective,The definition of better is superior or of high quality.
,adverb,"Better means to a greater degree, or more appropriate."
,noun,"Better is defined as the person in authority, or the thing that is more preferable."
,verb,Better is to make something more acceptable.
between,adverb,The definition of between is the space between two points in position or time.
bevy,noun,"The definition of a bevy is a group, especially a group of young women or quail."
bewilderment,noun,The definition of bewilderment is a feeling of confusion or lack of understanding.
biannual,adjective,The definition of biannual is something that occurs twice per year.
bicameral,adjective,The definition of bicameral is something with two lawmaking groups.
bigotry,noun,The definition of bigotry is prejudice and the state of being intolerant.
bird,noun,"The definition of a bird is a warm blooded member of the Aves class, which has feathers, a beak, no teeth, wings and bears young in eggs."
bistro,noun,"The definition of bistro is a small Parisian-style restaurant that serves simple meals, wine and coffee in a casual, modest setting."
bittersweet,adjective,"The definition of bittersweet is a combination of both bitter and sweet, or an emotional feeling that is a mixture of both happy and sad."
,noun,"Bittersweet is defined as a climbing plant in the nightshade family or Celastrus genus, or the emotion that joins joy and sadness."
black and white,adjective,The definition of black and white is a TV show or movie made before color film and color TV technology was developed.
black and white,adjective,Black and white is defined as a situation where there is only one clear right answer and where there are no nuances to consider.
,noun,Black and white is a slang expression for a police car.
,noun,Black and white means a television that does not offer a picture in color.
blew,verb,"The definition of blew is the past tense of to blow, meaning you pushed something using air from your mouth or something like wind pushed something forcefully."
blog,noun,"The definition of a blog is an online, chronological commentary."
,verb,To blog is defined as to write on a website that comments on current events or a specific topic.
blowhard,noun,The definition of a blowhard is a person who boasts in an obnoxious or unpleasant way.
bludgeon,noun,The definition of a bludgeon is a thick heavy club typically used as a weapon.
,verb,"Bludgeon is defined as to use force or bullying to get someone to do what you want, or to beat someone repeatedly with a heavy object or stick."
boarder,noun,"The definition of a boarder is a person who pays for room and meals at someone's home, or a person who gets on a plane or boat."
book,noun,The definition of book is a story or collection of stories that can be read.
,verb,To book is defined as to make reservations for something in advance.
bought,verb,The definition of bought means purchased.
bower,noun,"The definition of a bower is an area shaded by trees or other plants, a woman's private dressing room or a country cottage."
brand-new,adjective,The definition of brand-new is something that has never before been done or that has never been used before.
brawn,noun,"The definition of brawn means developed muscles, or physical strength."
break,noun,"The definition of a break is a period of separation or a split, gap or fracture."
,verb,"Break means to smash, split or fracture or to not abide by rules or laws."
break-in,noun,"The definition of a break in is an illegal entry into a house, building or vehicle."
break-in,noun,A break in is defined as the first usage or experience with something.
breakwater,noun,The definition of a breakwater is a barrier built in a body of water to break the force of waves and protect surrounding land.
bring,verb,The definition of bring means to carry or to cause to happen.
brought,verb,The definition of brought means something happened as a result of another action.
brought,verb,Brought means you carried someone or something to a place.
Buddhism,noun,"The definition of Buddhism is a religion and teachings of the Buddha, founded in India in the sixth century."
budgetary,adjective,The definition of budgetary is something related to a budget (the amount of money available or a financial plan for spending that money).
building,noun,The definition of a building is a structure or the process of making a structure.
but,adverb,The definition of but is only or merely.
,conjunction,"But means except for, unless or on the contrary."
,preposition,But is defined as with the exception of.
by,adverb,"The definition of by is in the immediate region, or to go past something."
,preposition,"By means near or next to, and it also means through which."
bye,noun,"The definition of bye is something that is not as important, or advancing to the next round in a competition without having to play an opponent."
call,verb,"To call is to make a sound intended to attract a person's attention, or is when an animal makes a special sound to attract other animals, or to use the telephone to contact someone."
cameral,adjective,"The definition of cameral is of the chamber of a judge, legislative member, etc."
candidacy,noun,"The definition of candidacy is the state of running for office, for a position or for an honor."
caring,adjective,The definition of caring is someone or something that shows kindness and concern for others.
carrion,adjective,The definition of carrion is relating to or eating dead or dying flesh.
,noun,Carrion is defined as dead or dying flesh.
carry,verb,"To carry is to transport or support the weight of something or someone, or to assume responsibility for someone or something, or to walk and act in a certain manner."
catapult,noun,The definition of a catapult is a military machine or other device that launches something with great force.
,verb,To catapult is defined as to forcefully throw something.
Catholic,adjective,"The definition of catholic is something that is wide-ranging, comprehensive, or refers to something or someone related to the Christian church or the Roman Catholic Church."
caught,verb,"The definition of caught means taken hold of and prevented from leaving, or spotted in the act of doing something wrong."
caught,verb,Caught is the past tense of catch and means that someone was trapped or something that was thrown was grabbed.
cauterize,verb,"The definition of cauterize is to burn or freeze the flesh around a wound, usually to close off or clean the wound."
Cavalier,adjective,The definition of cavalier is an arrogant person or someone indifferent or casual about important matters.
,noun,A cavalier is defined as a knight or a courteous gentleman.
celibate,adjective,"The definition of celibate is refraining from sexual relations, usually for religious reasons."
Celsius,adjective,The definition of Celsius is something related a system of measuring temperature where water freezes at 0 degrees and boils at 100 degrees.
,noun,Celsius is defined as a system of measuring temperature where water freezes at 0 degrees and boils at 100 degrees.
centre,noun,"The definition of centre is the British spelling for center and means the middle of something, or is a region in central France."
centric,adjective,The definition of centric is something that is centered or near the center.
centurion,noun,The definition of a centurion is a leader of 60 to 100 soldiers in the ancient Roman army.
certainly,adverb,The definition of certainly is absolutely or definitely.
cession,noun,"The definition of cession is the giving up of rights, property or territory to another."
chalice,noun,The definition of a chalice is a cup or goblet.
change,noun,The definition of a change is the act becoming different.
,verb,Change means to replace one thing for another or to become different.
chassis,noun,"The definition of a chassis is the structural framework or base framework of a car, computer, radio, or piece of audio equipment."
cheque,noun,"The definition of cheque is the British spelling of the word ""check"" and refers to a written order directing a bank to pay money."
children,noun,The definition of children means more than one child.
Chinese,adjective,Chinese is defined as something relating to China.
,noun,The definition of Chinese is a person or language from China.
choice,noun,The definition of choice is the act of making a selection or the person or thing which is selected.
chose,verb,The definition of chose is the past form of choose and means to have made a selection.
chosen,adjective,The definition of chosen is a person or thing that has been picked out or decided upon.
Christ,noun,"The definition of Christ is Jesus, the Messiah whose coming was predicted in the Old Testament."
Christian,adjective,The definition of Christian is something related to the teachings of Jesus Christ or related to the practice of following Jesus Christ.
,noun,A Christian is defined as a person who believes in the teachings of Jesus Christ and who has accepted Christ as his/her savior.
Christianity,noun,The definition of Christianity refers to the religion and followers that believe in the teachings of Jesus.
Christmas,noun,"The definition of Christmas is a holiday celebrated on December 25 both as a religious tradition commemorating the birth of Jesus and as a secular holiday.Christmas TraditionsMany people around the world decorate with evergreen trees and branches. Germans started bringing these trees into their homes in the 16th century. Evergreens represent strength, because they can stand up to a harsh, cold winter. In some cultures, they are believed to ward off evil spirits. Besides that, they also smell great. Trees and evergreen wreaths can be decorated with just about anything: popcorn, candles, lights, apples, berries, small toys, cookies, ornaments, tinsel, garland, and nuts.The first printed Christmas cards started in England in 1843 as a way to remind people to help the poor. The very first printed card said, “A Merry Christmas and a Happy New Year to You"" and was sent by Sir Henry Cole. At first, the cards had signs of spring, like birds, animals, children, and fairies. This tradition caught on quickly and is practiced by many around the world.The tradition of hanging stockings by the fire started with the story of St. Nicholas. He wanted to help a poor man and his three daughters, but wanted to be anonymous. As the story goes, he rode by their house on a white horse and tossed three bags of coins down the chimney. The bags were miraculously caught in the girls’ stockings that had been hung there to dry."
city,noun,The definition of a city is a town of significant size or an urban area with self-government.
clamour,noun,"The definition of clamour is an alternate spelling of clamor, which means chaotic or loud noises and demands from many people."
cleanup,adjective,The definition of cleanup is the fourth hitting position in a baseball lineup.
,noun,"Cleanup is defined as the elimination of crime, dirt, junk or anything else that you don't want, or is slang for a large profit."
clothes,noun,The definition of clothes are garments worn on the body for protection or adornment.
cloud,noun,"The definition of a cloud is a visible mass of small water droplets or ice particles which are suspended in the sky.Facts About CloudsWhen a cloud forms in space, it is known as an interstellar cloud, or a nebula. Three components are necessary for clouds to form: water vapor, cool or cold air, and condensation nuclei. A white cloud means that the cloud was formed with warm air. A grey, or a black cloud, means that the cloud contains larger drops of water.There are four main types of clouds:Cumulus - the white and puffy clouds in the sky, generally under 7,000 feet in altitude. Made up almost entirely of water drops.Stratus - the flatter clouds that stretch over greater lengths of distance in the sky, generally under 7,000 feet in altitude. Made up almost entirely of water drops.Cirrus - clouds which are extremely high in the sky, generally over 18,000 feet, and are very thin and feathery looking. Composed primarily of ice crystals.Cumulonimbus - clouds which go the highest of all clouds, up to 60,000 feet. They produce storms, thunder and lightening."
cloud,noun,"Cloud is defined as a mass of smoke, dust, steam or a mass of things suspended in the air."
,verb,"To cloud is defined as to darken, cover or make gloomy."
coed,adjective,The definition of coed is coeducational and is something that is available to both men and women.
,noun,A coed is defined as a female student.
cold,adjective,The definition of cold is a low temperature or is someone who is not warm and friendly.
,noun,Cold is defined as a contagious virus that causes you to have a stuffy nose and sometimes a sore throat and a fever.
collation,noun,The definition of collation is the act of assembling people or elements into an order for a specific purpose.
color,noun,The definition of color is a component of light which is separated when it is reflected off of an object.
,verb,"To color something is to add a hue, shade, paint or dye to an object or picture."
colour,noun,The definition of colour is the British word for color.
,verb,Colour is defined as the British spelling for color.
come,verb,The definition of come is to move closer to the requester.
come,verb,Come means to reach a particular state or action.
comeuppance,noun,The definition of comeuppance is getting the punishment you deserve.
coming,adjective,"The definition of coming is arriving or happening next, or having a lot of potential."
,noun,Coming means an arrival.
commemorative,adjective,The definition of commemorative is something intended to act as a memorial or as an official expression of honoring a person or an event.
,noun,A commemorative is defined as a coin or other object that is made with the intent to honor or memorialize a person or an event.
company,noun,The definition of company is a guest or a group of people associated with each other.
con,noun,"The definition of a con is a disadvantage, a negative reason or a scam designed to trick or defraud someone."
,verb,"To con is to trick someone, or use deception to defraud or lie to someone."
confused,adjective,"The definition of confused is a person who cannot think clearly, or is something that is jumbled or without order."
,verb,Confused means you caused someone to feel bewildered or perplexed.
conjugal,adjective,The definition of conjugal is relating to marriage or a relationship.
contagion,noun,"The definition of contagion is an infectious disease spread through contact, or the transmission of a disease from one person to another through contact, or the spread of a bad or harmful idea or practice."
contextual,adjective,"The definition of contextual is depending on the context, or surrounding words, phrases, and paragraphs, of the writing."
contraband,adjective,The definition of contraband is not allowed to be imported or exported.
,noun,"Contraband is defined as goods that are against the law to trade or to be imported or exported, or goods that are smuggled or a slave during the Civil War who was behind the Union lines."
conveyance,noun,The definition of conveyance is the act of transmitting or transferring something.
coordinator,noun,The definition of a coordinator is a person who is in charge of planning something or of facilitating the occurrence of events or the collaboration of people.
cordial,adjective,The definition of cordial is someone who is nice and friendly.
cordiality,noun,The definition of cordiality is sincere kindness.
corps,noun,The definition of a corps is a group of people working together or under the same organization to achieve a common goal or goals.
corps,noun,Corps is defined as a special branch of the military or a group of combat forces consisting of two or more divisions and assisting troops.
cost,noun,The definition of cost is the amount paid for something or the expense of doing something.
,verb,Cost is defined as to be priced at something or to lose.
could,verb,"The definition of could is often used in the place of ""can"" to show a little doubt."
counseling,noun,The definition of counseling refers to guidance or advice provided to help someone resolve difficulties or decide issues.
country,adjective,The definition of country is relating to rural life.
,noun,"A country is defined as a nation, the people of the nation or land in a rural area."
cover,noun,"The definition of a cover is something that goes over, rests on the surface or provides a place to hide."
,verb,Cover is defined as to conceal or place something over.
cowardly,adjective,The definition of cowardly is something characterized by a lack of courage.
crackdown,noun,The definition of crackdown is the strict enforcement of specific rules.
criteria,noun,"Criteria is defined as the plural form of criterion, the standard by which something is judged or assessed."
crone,noun,"The definition of a crone is a hag or an old, ugly woman."
culvert,noun,The definition of culvert is a tunnel or a drain under a road or a railway that carries a stream or drainage from one side to the other.
,verb,Culvert is defined as to channel or direct a stream or drainage through a tunnel under a road or railway.
cut,adjective,The definition of cut is having been divided by a sharp object or having been reduced.
,noun,Cut is defined as the act or result of removing or dividing with a sharp object.
,verb,Cut means to divide with a sharp instrument.
dad,noun,Dad is defined as a term used for your father.
daddy,noun,Daddy is defined as an affectionate name for a father.
daisy,noun,"The definition of a daisy is a type of flower with white petals around a yellow center, or a female name, or is slang for something very good."
datum,noun,The definition of a datum is a fact used to make a conclusion or a point of reference in geography or geology.
daub,noun,The definition of a daub is something covered in stickiness or greasiness.
,verb,Daub is defined as covering or smearing with paint or something sticky or grease.
day,noun,The definition of a day is a 24-hour period of time or the period of light between sunrise and sunset.
declarative,adjective,The definition of declarative is a simple or definitive statement.
,noun,"Declarative is defined as a definitive statement, simple word or phrase."
defecate,verb,To defecate is defined as to have a bowel movement.
defence,noun,"Defence, the British spelling of defense, is defined as a protection against attack or the act of guarding, or an action that is taken in response to an attack."
delighted,adjective,The definition of delighted is you feel great pleasure or joy.
demeanour,noun,"Demeanour is defined as an alternative spelling of demeanor, which refers to your general personality and the way you behave."
deprived,adjective,The definition of deprived is not having enough of the necessities of life or a lack of positive opportunities and experiences.
describe,verb,Describe is defined as to give details about something to someone.
dialogue,noun,"The definition of dialogue is conversation, or an exchange of ideas."
did,verb,Did is the past tense of do.
difficult,adjective,The definition of difficult is something that is hard to understand or do and is a person that is hard to get along with.
dimensional,adjective,The definition of dimensional is something a shape that can be measured.
dirty,adjective,"The definition of dirty is something soiled, unclean or impure."
,verb,To dirty is to cause something to become unclean or impure.
disburse,verb,Disburse is defined as to pay or give out.
distressful,adjective,"The definition of distressful is something that causes pain, unhappiness, anxiety or fear."
dna,abbreviation,"DNA, which stands for deoxyribonucleic acid, is defined as a nucleic acid that contains the genetic code.Facts About DNAIt is a long polymer that is composed of repeating nucleotides.The largest DNA polymer that is known is about two hundred and twenty million base pairs long.In 1869, the physician Friedrich Miescher first isolated DNA. While examining the substance of pus in surgical bandages, he observed a microscopic substance in the pus. He named it nuclein because he observed it in the nuclei of cells.In 1928, Frederick Griffith realized that DNA might actually hold genetic information. In 1952, Alfred Hershey and Martha Chase performed an experiment which confirmed that DNA had a role in heredity.In 1953, James D. Watson and Francis Crick proposed the idea that the DNA’s structure was a double-helix.It was not until scientists used x-ray technology that they were to finally able to see the structure of a DNA molecule. In 1953 Rosalind Franklin was the first to take the most accurate picture, which became known as photograph 51, that truly defined the structure of the double helix shape of DNA.In 1962, the Nobel Peace Prize was given to James Watson, Francis Crick, and Maurice Wilkins (an associate of Franklin who had died by 1962.)."
do,verb,Do is defined as to accomplish an action.
downside,noun,The downside is defined as the negative aspects or the disadvantages of something.
dramatically,adverb,Dramatically is defined as something done with great flare or done in an overly exaggerated or theatrical manner.
drawn,adjective,The definition of drawn is looking very tired or sick.
,verb,Drawn is defined as to have created and illustrated.
driven,adjective,"The definition of driven is a goal-oriented person, something that's been moved and piled by the wind, or something caused or operated."
,verb,"Driven is the past form of drive, which is defined as to move something using force."
dross,noun,Dross is defined as worthless waste matter.
dug,verb,Dug is defined as uncovered or removed.
during,preposition,During is defined as at the same time or through the entire time.
DVD,noun,"The definition of a DVD, which stands for digital video disc, is an optical disc that can store large quantities of digital material such as sound, images and data."
dying,verb,"Dying is defined as waning or about to disappear, or just about to pass away.Facts About DyingWhen someone is near death their mind and physical body begins to start shutting down each system. The changes in each bodily system are very gradual and can build up over time.The person may not wake easily.The body begins to process food at a slower rate, so constipation is a very common side effect of the process – as is losing control of bowel movements and urination.The body begins to slow down the circulation of blood throughout the body, which means that the hands and feet of the person get very cold and numb.The breathing cycle might also change, with longer periods of time between breathes and more shallow breathing.The person might become disoriented really easily, losing their way, becoming dizzy, and getting confused.A person may become moody or withdrawn.Hearing is one of the last senses to be lost and may be present until the end of the person’s life."
early,adjective,"The definition of early is near the beginning, or belonging to a previous time."
,adverb,"Early is defined as before the expected time, or soon after the start."
Easter,noun,"Easter is defined as the Sunday each year that celebrates the resurrection of Jesus with special church services and meals as well as a more secular celebration with Easter baskets filled with candy, delivered by an Easter bunny."
easy,adjective,"The definition of easy is something that can be done with ease, is not hurried, is not difficult, is free from anxiety or is comfortable."
eat,verb,"To eat is defined as to put food in the mouth, chew and swallow or to use up."
effectual,adjective,"The definition of effectual is someone or something that is doing what it was intended to do, or has legal force."
egg,noun,The definition of an egg is the female reproductive cell in many animals or the thin-shelled oval body laid by hens and other animals.
Egypt,noun,Egypt is defined as a country in northeastern Africa.
Egyptian,adjective,Egyptian is defined as something related to the culture and people of Egypt.
either,adjective,The definition of either is one or the other.
,pronoun,Either is defined as one or the other.
embellishment,noun,"Embellish is defined as fancy details added on to make something look better or nicer, the act of adding such details or the act of stretching the truth of a story to make it sound more exciting."
emigration,noun,Emigration is defined as the act of leaving one's country to live in another.
emulation,noun,Emulation is defined as the act of trying to match or equal someone.
encouraging,adjective,The definition of encouraging is something that gives hope.
end,noun,"The definition of an end is the last part, or limit of something."
endearment,noun,"Endearment is defined as affection, or to words used to express affection."
endeavour,noun,"Endeavour is defined as an alternate spelling of endeavor, which is defined as something you try or attempt with a lot of effort."
engaging,adjective,The definition of engaging is something interesting or fascinating.
English,adjective,The definition of English is someone or something that is from England.
English,adjective,English means the language of the United States and England.
,noun,English is defined as the language spoken by people of England and the United States.
enough,adjective,The definition of enough is something that is just what you need and nothing more.
,adverb,Enough is defined as having done something adequately or sufficiently.
,noun,Enough means as many as you need or are allowed.
eternity,noun,"Eternity is defined as, or seems like, an endless amount of time."
evaporation,noun,Evaporation is defined as the process of a liquid changing into a gas.
even,adjective,The definition of even is level or fair or divisible by two.
,verb,To even something is defined as to make it equal or to make it level or smooth.
even-tempered,adjective,"The definition of even tempered is someone who is not quickly angered or prone to mood swings or wild emotion; but, who instead remains calm."
except,conjunction,"Except is defined as something said when one action depends on another action, or to show a variation in action."
,verb,To except is defined as to leave out or take out one when you include everything else.
exchequer,noun,Exchequer is defined as a royal or national treasury or is defined as the account into which tax funds and other public funds are deposited.
excited,adjective,The definition of excited is someone or something that has enthusiasm or is emotionally aroused.
,verb,"Excited is defined as making someone feel emotions, or having an increased activity level."
exclamatory,adjective,The definition of exclamatory is a cry or remark that is sudden or strong and expresses an emotion.
exemption,noun,"Exemption is defined as freedom from an obligation, duty or consequence."
extended,adjective,The definition of extended is longer or more than the usual.
eye,noun,"The definition of an eye is the organ that gives sight in humans and animals, or the iris."
,verb,To eye is defined as to look at or observe.
façade,noun,The definition of a facade is the front of a building facing a public space or an artificial front or appearance by someone.
fact,noun,The definition of a fact is something that is true or something that has occurred or has been proven correct.
Fahrenheit,adjective,The definition of Fahrenheit is a temperature scale with 32 degrees as the freezing point of water and 212 degrees as the boiling point of water.
fall,noun,The definition of a fall is an often unexpected drop or descent or the season that comes after summer and before winter.
,verb,"Fall is defined as to drop or come down, often unexpectedly."
family,noun,"Family is defined as a specific group of people that may be made up of partners, children, parents, aunts, uncles, cousins and grandparents."
family,noun,The definition of family is the group of people who share common ancestors.
family,noun,Family means a group of things that are similar.
fanfare,noun,"Fanfare is defined as a loud and flashy display, or a short and dramatic trumpet flourish."
farther,adjective,The definition of farther is something described as having a greater physical distance. The distance would have been measured.
,adverb,"Farther is defined as a greater physical distance, a distance that has been measured."
farthest,adjective,"The definition of farthest is something that is a longer, measurable physical distance."
favorite,noun,The definition of a favorite is a person or thing that is best liked or treated in a special way.
favour,noun,The definition of favour is approval or doing something for someone else.
,verb,Favour is defined as to treat with an unfair preference.
feasibility,noun,Feasibility is defined as the state of something being possible or suitable.
February,noun,February means the second month of the year.
fed,abbreviation,Fed is a shortened form of Federal and is defined as a U.S. federal agent.
,verb,Fed is defined as to have given someone food in the past.
feet,noun,Feet is defined as the part of the body that touches the ground or multiples of 12 inches.
few,adjective,The definition of few is a small number of something.
,pronoun,Few is defined as not many.
fiat,noun,"The definition of a fiat is an order or decree, or any arbitrary order."
find,noun,"The definition of a find is something discovered, particularly something of worth and value."
,verb,Find is defined as to come across something by chance or to locate something that was once lost.
first-class,adjective,The definition of first-class is of the highest or best.
,adverb,First-class is defined as done in the most lavish or stylish way.
fled,verb,"Fled is defined as that you ran away from something, especially something dangerous or undesirable."
flown,verb,"Flown is the past tense of fly, which is defined as when a person or thing moves through the air."
follow-up,noun,The definition of a follow-up is a return to an existing situation or to a situation that is underway in order to determine what the current status is and whether all has been done or is being done.
