word,pos,definition
age,noun,Age is defined as a span of years during which some event occurred.
,noun,The definition of age is the number of years something has been alive or in existence.
,verb,Age means to experience the passage of time or show signs of growing older.
aged,,
ageism,,
ageless,,
agglomeration,noun,"The definition of an agglomeration is a mass of varied parts, or the act of amassing various parts."
aggravation,,
aggressiveness,,
aggressor,,
aging,verb,"The definition of aging refers to the process of getting older, or an artificial process to make someone or something look older."
agitator,,
ago,adjective,The definition of ago is before now or in the past.
,adverb,Ago is defined as in the past or before.
agonize,verb,spend a long time thinking and worrying about sth
agonizing,,
agricultural,,
agronomist,noun,scientist who studies the relationship between crops and the environment
aground,adjective,(of ships) touching the ground in shallow water
ahead of,,
ahistorical,,
AIDS,abbreviation,"AIDS is defined as an abbreviation for for Acquired Immune Deficiency Syndrome and is caused by the HIV virus.Facts About AIDS and HIVHIV stands for Human Immunodeficiency Virus, a virus that can be contracted in a small number of ways.Once someone contracts the HIV virus from an infected person, the viral cells attach to CD4 lymphocyte helper cells within the body. Typically these types of cells are used to combat common infections within the human body; they are an essential part of the immune system.The viral cells continue to attach themselves to the CD4 cells and then multiply to destroy them; eventually those affected with HIV become unable to combat both common and uncommon infections.When this happens the patient is said to have full blown AIDS.AIDS is also diagnosed when amount of CD4 helpers left in the body drops below a certain required amount.The first cases of HIV were reported in the United States in 1981 in the cities of San Francisco and New York. Today those affected by the HIV virus can be found throughout the United States and the world.According to the World Health Organization (WHO), there were 33.3 million people living in the world with HIV as of 2010.As of 2010, over 22 million of the 33.3 million adults and children with HIV lived in African countries where the economy allows limited access to the medications needed to treat and suppress the disease. The lowest number of cases is found in North Africa, with the Sudan showing the highest HIV concentration in that region.By the end of 2008, two million people had died of AIDS with 1.9 million of these people living in Africa."
ailing,adjective,ill and not improving
aimless,,
air conditioner,,
air conditioning,,
air force,,
airbase,,
airfield,,
airflow,,
airily,,
airlift,,
airliner,,
airmail,,
airspace,,
airstrip,,
airtight,,
airway,,
airy,adjective,with plenty of fresh air because there is a lot of space
,adjective,not serious
album,noun,"book in which a collection of photographs, stamps, etc can be kept"
,noun,long-playing record
albumin,,
alcoholism,,
alga,,
algal,,
alienable,,
alimentary,,
alkaloid,,
all,adjective,The definition of all is the entire amount.
all right,adverb,satisfactory; in a satisfactory manner
,adverb,safe and well
,adverb,that can be allowed
,interjection,showing that you agree to do what sb has asked
allergic,,
alleviation,,
allied,adjective,Allied is defined as two or more things that are similar or related to each other.
,adjective,"The definition of allied is two or more individuals, organizations, or countries who are working together toward the same purpose as a result of a mutual agreement."
allurement,,
alluvial,,
almighty,adjective,very great
along,adverb,Along is length or placement.
,preposition,"Along is defined as to be next to, or to abut something."
,preposition,The definition of along is something that happens during an activity.
,preposition,Along is adhere or stand by.
,verb,"Along, when prefaced by the word “get,” is defined as to be pleasant with someone else."
alpine,,
already,adverb,Already is defined as something that happened before a specific time.
alternation,,
altitude,noun,height above sea level
aluminium,noun,"light silver-grey metal used for making pans, etc"
aluminum,,
always,adverb,Always means lasting and unending.
,adverb,Always is defined as doing something regularly.
am,abbreviation,"The definition of am means ante meridiem in Latin, which means before 12 noon."
,verb,The definition of am is a verb that is used with the word I as the first person singular version of the verb be.
Amazon,noun,"In mythology, an Amazon was defined as a female in battle known to live in Pontus, close to the Black Sea."
,noun,The definition of an amazon is a woman possessing extraordinary height and strength.
,noun,"The Amazon, in South America, is the largest river in the world."
ambassadress,,
ambrosia,noun,The definition of ambrosia is a sweet fruit dessert salad that has a thick custard-like consistency.
,noun,"In mythology, ambrosia is defined as the food or drink of the Greek Gods."
,noun,Ambrosia is defined as any food or aroma that is remarkably pleasant to taste or smell.
America,noun,The definition of America is the term most often used to refer to the United States.
American,adjective,American describes a person or thing from the United States of America.
,adjective,"The definition of American refers to any person or thing related to, or aboriginal to, North or South America."
,noun,The definition of an American is someone who is a natural born or naturalized citizen of the United States.
,noun,An American is defined as someone who lives in North or South America.
amino,,
ammeter,,
ammonia,noun,"gas with a strong smell, used in making explosives, fertilizers, etc"
among,preposition,"The definition of among is being in a group things, usually more than two, or being part of a group."
amphitheater,,
amplifier,,
amputate,verb,cut off an arm or a leg
an,adjective,The definition of an is a word used in place of the word “a” when the following word begins with a vowel sound.
anaemia,noun,"lack of red cells in the blood, causing a person to look pale"
anaerobe,,
anaerobic,adjective,not needing oxygen
,adjective,(of physical exercise) not esp designed to improve the function of the heart and lungs
anaesthetic,,
anaesthetize,,
analgesic,noun,substance that reduces pain
analogue,noun,The definition of an analogue is a thing or person that is like something else in some ways.
analyse,verb,"The definition of analyse, commonly spelled analyze, means to learn about something by looking closely at its individual parts and determining how they work together."
anarchic,,
anathematize,,
ancestral,,
ancestry,,
anchorage,,
anchorman,,
anchorwoman,,
and,conjunction,"And is used to express also, in addition, moreover, then, besides, at the same time and plus."
anemone,noun,small plant with colourful flowers
anew,adverb,again
angiosperm,,
angler,,
angular,adjective,(of a person) thin and bony
,adjective,having sharp corners
animadversion,,
anionic,,
ankle,noun,joint connecting the foot with the leg
anneal,,
annexation,,
annotation,noun,The definition of an annotation is an added note that explains something in a text.
announcer,,
annoyed,,
annually,,
annunciation,,
anode,noun,place on a battery or other electrical device where the electric current enters
anoint,verb,The definition of anoint means to smear or rub with oil.
anole,,
anomie,,
another,adjective,Another is defined as an additional amount.
,adjective,Another means someone or something that is not the same.
,adjective,Another refers to someone of something that is comparable or alike.
,pronoun,"The definition of another is one more of a person, place or thing."
,pronoun,Another refers to something that is dissimilar.
,pronoun,Another can refer to doubling something.
answer,noun,The definition of an answer is a response to a question or inquiry that can be given orally or in written form.
,noun,An answer is defined as something that is similar or a close copy.
,verb,"To answer is defined as to give a response to a question in either an oral or written manner, or by a physical gesture."
,verb,Answer means to deal with a result of something.
Antarctic,adjective,The definition of Antarctic is anything that is closely located or related to the South Pole.
Antarctica,,
antecede,,
antelope,noun,animal like a deer
anthropoid,,
anticlockwise,adjective,in the direction opposite to the movement of the hands of a clock
antilogarithm,,
antiquate,,
antiwar,,
antler,noun,horn of a deer
any,adjective,"The definition of any is a quantity, and can be used in place of some or one."
,adjective,Any refers to a selection of several things.
,adverb,Any is defined as an amount or degree.
,pronoun,Any can be used to refer in vague terms to a person or people.
anybody,pronoun,used instead of
,pronoun,any person at all
anyhow,adverb,carelessly
anymore,,
anyone,,
anywhere,adverb,used instead of
apace,,
apiary,,
apiece,adverb,each
apologetic,adjective,saying or feeling sorry for doing sth wrong
apologise,,
apothegm,,
app,noun,The definition of an app is short for application and is software for use on a smart phone or computer.
appal,verb,The definition of appal means to shock or amaze in a negative way.
appendicitis,noun,painful swelling of the appendix that can be very serious
appointee,,
approximately,,
approximation,,
apr,,
apricot,noun,small round orange-yellow fruit with a stone
,noun,orange-yellow colour
April,noun,fourth month of the year
aquiline,,
Arab,,
Arabia,,
Arabian,,
Arabic,adjective,(language) of the Arabs
,noun,"symbol 0, 1, 2, 3, etc used for writing numbers in many countries"
arbitrator,,
arboretum,,
arcade,noun,covered passage with shops
archaeologist,noun,"The definition of an archaeologist is a person who studies human history, particularly the culture of historic and prehistoric people, through discovery and exploration of remains, structures and writings."
archaeology,noun,"The definition of archaeology is the study of human history, particularly the culture of historic and prehistoric people through the discovery and exploration of remains, structures and writings."
archbishop,noun,chief bishop
archer,noun,person who shoots with a bow and arrows
archetypal,,
architectural,,
archway,,
Arctic,adjective,"Arctic is defined as a way to describe something very cold, like freezing icy temperatures or a person’s disinterested or chilly attitude."
,adjective,The definition of Arctic is a name for anything associated with the North Pole region.
,noun,An Arctic means a waterproof shoe that is worn over a regular shoe.
ardour,,
are,verb,"The definition of are is a plural, present tense conjugation of the verb be."
arguable,,
arguably,,
aridity,,
ark,noun,(in the Bible) Noah's ship
armada,noun,large group of ships sailing together
armament,noun,"weapons, esp large guns"
,noun,process of equipping military forces for war
armed,,
armed forces,,
armory,,
armour,noun,protective metal covering for the body in battle
,noun,"metal covering for tanks, ships, etc"
armoury,,
arose,verb,"The definition of arose is for something to come up or originate, or for someone to stand up."
arousal,,
arroyo,,
artesian,,
artful,adjective,"clever at getting what you want, sometimes by not telling the truth"
artillery,noun,(branch of the army that uses) large heavy guns
artistry,,
artsy-craftsy,,
artwork,,
ascendance,,
ascendant,,
ascription,,
ashen,adjective,The definition of ashen is being gray or ash colored.
ashore,adverb,"towards, onto or on land, having come from the water"
ashtray,,
Asia,,
Asian,,
ask,verb,"To ask is to inquire about something in order to get an answer, response or action."
aspartame,,
aspirant,,
aspirin,noun,drug used to reduce pain and fever
aspiring,adjective,"The definition of aspiring is looking forward to something with great desire, hoping for some dream or goal to come true, or working towards making something happen."
assassination,,
associative,,
assorted,adjective,of different kinds; mixed
assuming,verb,The definition of assuming is the action of formulating or verbalizing an idea for which there is no evidence.
,verb,Assuming is defined as taking on responsibility or fulfilling the obligations of someone else's position by taking over his job.
,verb,Assuming means fulfilling the obligations of someone else's position by taking over his job.
assuredly,,
astigmatism,,
astonishing,,
astounding,,
astral,adjective,of the stars
astronomical,,
asymmetric,,
asymmetrical,,
at,preposition,"The definition of at is to show position, to show something that an action refers to, or to show a condition or something that is happening."
atavism,noun,The definition of an atavism is a genetic trait that reoccurs after skipping several generations.
ate,suffix,"The definition of ate as a suffix is to indicate the salt of an acid, or is used to show offices, functions, institutions or leaders."
,verb,The definition of ate is to have eaten.
atelier,,
atheistic,,
Atlantic,,
atmospheric,,
atomic,,
atop,,
attache,noun,person who works on the staff of an embassy
,noun,small case for documents
attached,,
attacker,,
attempted,,
attributive,adjective,coming in front of a noun
attune,,
auctioneer,,
audio-visual,,
auditor,,
aug,,
augmentation,,
August,noun,The definition of August is a month on the Gregorian calendar that is 31 days in length which comes after July and before September.
aureole,,
auspices,noun,with the help or support of sb/sth
Australia,noun,"The definition of Australia is the name of one of the seven continents of the world and includes the countries of Australia, New Guinea, the Aru Islands, and the Raja Ampat Islands."
Australian,,
authorial,,
autobiographic,,
autobiographical,,
autocratic,,
automate,verb,use machines and computers instead of people to do a job
automaton,noun,The definition of an automaton is a self-propelled or self-powered machine.
avant,,
aviary,noun,large cage or building in which birds are kept
aviator,,
avoidable,,
awaken,verb,(cause sb to) wake up
,verb,cause sth to become active
,verb,(cause sb to) become aware of sth
awfully,,
awoke,,
axe,noun,tool for cutting wood
,noun,have private reasons for doing sth
,verb,greatly reduce jobs or services
axle,noun,rod on which a wheel turns
baboon,noun,kind of large monkey
baby,noun,The definition of a baby is an extremely young child or animal.
baby boom,,
baby boomer,,
baby-sitter,,
back,adjective,The definition of back is in the rear.
,noun,Back means the rear of something.
,verb,Back is defined as to support or to move in a backward motion.
backache,,
backbreaking,,
backdate,,
backhand,,
backing,,
backlighting,,
backpack,,
backup,,
backward,adjective,directed towards the back
,adjective,having made less than normal progress
backwards,,
backyard,,
bacon,noun,salted or smoked meat from the back or sides of a pig
bacterial,,
bacterium,,
badly,,
bagel,,
baggy,adjective,(of clothing) hanging loosely
bakery,,
balanced,,
ballerina,noun,female ballet dancer
ballistics,noun,scientific study of the movement of objects shot or fired through the air
balloonist,,
ballpoint,,
bamboo,noun,tall plant of the grass family with hard hollow stems
banality,,
bandage,noun,strip of cloth that is wrapped round a wound
,verb,wrap a bandage round sth
bandanna,,
bandit,noun,member of an armed group of thieves who attack travellers
bandmaster,,
bandwidth,noun,measurement of the amount of information that a particular computer network or Internet connection can send in a particular time. It is often measured in bits per second.
bandy,verb,The definition of bandy means to throw something or an idea like a ball back and forth.
banjo,noun,"musical instrument with a round body, played by plucking the strings"
bank,noun,Bank is defined as a long pile or mound.
,noun,"The definition of a bank is a place that receives, lends, exchanges and protects money."
,verb,Bank means to pile up or build up.
banking,,
banknote,,
bantering,,
baptize,,
barber,noun,person whose job is to cut men's hair
barbershop,,
barefaced,,
baritone,noun,(man with a) singing voice between tenor and bass
barrack,verb,shout loudly at sb to interrupt him/her
barracks,noun,large building(s) for soldiers to live in
based,suffix,Based is used with a location and is defined to show where something is situated.
,suffix,The definition of based means having something as its major element.
basement,noun,"lowest floor of a building, below ground level"
basically,,
basics,,
basket,noun,container made of woven strips of wood
,noun,game in which two teams of five players try to throw a ball into a high net hanging from a ring
bathrobe,,
bathroom,,
bathtub,,
baton,noun,short thin stick used by the conductor of an orchestra
,noun,police officer's short thick stick used as a weapon
batsman,,
battlefield,,
battleground,,
bauble,noun,The definition of a bauble is a showy ornament or decoration of little value.
bauxite,,
bayonet,noun,long sharp blade fixed to the end of a rifle
,verb,stab sb with a bayonet
BBQ,,
BC,abbreviation,(in the year) before the birth of Jesus Christ
be,verb,The definition of be is to exist or to exist as an example of something.
beak,noun,hard pointed or curved outer part of a bird's mouth
beaker,noun,tall narrow cup for drinking from
,noun,glass container used in chemistry
beastly,,
beaten,,
beautify,,
bedclothes,,
bedding,,
bedizen,,
bedraggle,,
bedtime,,
beehive,,
beeper,,
beet,noun,"plant with a fleshy root that is used as a vegetable, esp for feeding animals or for making sugar"
,noun,"dark red fleshy root of beet, eaten as a vegetable"
befit,verb,be suitable for
before,adverb,"The definition of before is something that happened before another thing, or something that was in front of or before another."
,preposition,Before is defined as a previous time.
beg,verb,"The definition of beg means to plead for something, especially for money or assistance."
beginner,,
beginning,adjective,The definition of beginning is something that is in the early stages or the first portion of something.
,noun,Beginning means the moment or place when something started.
begun,,
behavioral,,
behaviorism,,
behaviour,noun,The definition of behaviour is the British spelling for the way a person or thing acts.
behead,verb,cut off sb's head
beholder,,
beige,noun,(of a) very light yellowish-brown colour
Beijing,,
Belgium,,
believable,,
believe,verb,The definition of believe means to have confidence in the truth of something.
bell,noun,metal object that makes a ringing sound when struck
,noun,electrical device that makes a ringing sound when a button on it is pushed; the sound that it makes
bellows,noun,"device for blowing air into sth, eg a fire"
belly,noun,"part of the body below the chest, containing the stomach"
,noun,stomach pain
,verb,complain constantly
,noun,enough; too much
belongings,,
belt,noun,strip of material worn round the waist
,noun,circular piece of material that drives machinery or carries things along
,noun,area that has a particular feature or where a particular group of people live
,noun,unfair or cruel
,verb,hit sb/sth very hard
,verb,move very fast
,verb,fasten sth with a belt
,verb,used to tell sb rudely to be quiet
bemused,,
benison,,
benzene,,
bequest,,
bereavement,,
bespeak,,
best,adjective,The definition of best is better than all others.
,adverb,Best means in the greatest advantage or manner.
,noun,Best is defined as the greatest degree or highest efforts.
bestial,adjective,"The definition of bestial is savage, or like a beast or wild animal."
bestseller,,
betroth,,
better,adjective,The definition of better is superior or of high quality.
,adverb,"Better means to a greater degree, or more appropriate."
,noun,"Better is defined as the person in authority, or the thing that is more preferable."
,verb,Better is to make something more acceptable.
between,adverb,The definition of between is the space between two points in position or time.
bevy,noun,"The definition of a bevy is a group, especially a group of young women or quail."
bewilderment,noun,The definition of bewilderment is a feeling of confusion or lack of understanding.
bewitch,verb,attract sb so much that they cannot think in a sensible way
,verb,put a magic spell on sb
biannual,adjective,The definition of biannual is something that occurs twice per year.
bibliographer,,
bicameral,adjective,The definition of bicameral is something with two lawmaking groups.
bifocals,noun,pair of glasses with lenses that are designed for both distant and near vision
bigotry,noun,The definition of bigotry is prejudice and the state of being intolerant.
bike,,
bilingualism,,
billionaire,,
bin,noun,large container for storing things in or for rubbish
binder,,
binoculars,noun,"instrument with a lens for each eye, making distant objects seem nearer"
biochemical,,
biochemist,,
biographer,,
birch,noun,(hard wood of a) kind of tree with smooth bark and thin branches
bird,noun,"The definition of a bird is a warm blooded member of the Aves class, which has feathers, a beak, no teeth, wings and bears young in eggs."
birdcage,,
birdie,,
birthplace,,
birthrate,,
bison,noun,American buffalo; European wild ox
bistro,noun,"The definition of bistro is a small Parisian-style restaurant that serves simple meals, wine and coffee in a casual, modest setting."
bitterly,,
bittersweet,adjective,"The definition of bittersweet is a combination of both bitter and sweet, or an emotional feeling that is a mixture of both happy and sad."
,noun,"Bittersweet is defined as a climbing plant in the nightshade family or Celastrus genus, or the emotion that joins joy and sadness."
bitumen,noun,sticky black substance used in making roads
black and white,adjective,The definition of black and white is a TV show or movie made before color film and color TV technology was developed.
,adjective,Black and white is defined as a situation where there is only one clear right answer and where there are no nuances to consider.
,noun,Black and white is a slang expression for a police car.
,noun,Black and white means a television that does not offer a picture in color.
blackboard,,
blacken,,
blacksmith,,
blade,noun,"sharp cutting edge of a knife, razor, etc"
,noun,"flat wide part of an oar, a propeller, etc"
,noun,long narrow leaf of grass
blase,adjective,showing no excitement or interest in things because you have experienced them before
bleach,verb,become or make sth white or lighter in colour by using a chemical or by leaving it in the sun
,noun,strong chemical used to bleach cloth or to clean sth well
bleep,,
blew,verb,"The definition of blew is the past tense of to blow, meaning you pushed something using air from your mouth or something like wind pushed something forcefully."
bloated,adjective,swollen
blob,noun,drop of liquid; small round mass
bloc,noun,"group of countries, etc united by a common interest"
blog,noun,"The definition of a blog is an online, chronological commentary."
,verb,To blog is defined as to write on a website that comments on current events or a specific topic.
bloke,noun,man
blood pressure,,
blooded,,
bloodstream,,
bloody,adverb,swear word that is used for adding emphasis
,adjective,covered with blood
,adjective,with a lot of violence and killing
,adjective,deliberately unhelpful
blotter,,
blowhard,noun,The definition of a blowhard is a person who boasts in an obnoxious or unpleasant way.
blubber,noun,fat of whales
bludgeon,noun,The definition of a bludgeon is a thick heavy club typically used as a weapon.
,verb,"Bludgeon is defined as to use force or bullying to get someone to do what you want, or to beat someone repeatedly with a heavy object or stick."
blues,,
boarder,noun,"The definition of a boarder is a person who pays for room and meals at someone's home, or a person who gets on a plane or boat."
boarding school,,
boardroom,,
boat people,,
boating,,
bob,verb,"move up and down, esp in water"
,verb,cut sb's hair so that it is the same length all the way around
,noun,woman's hairstyle in which the hair is cut the same length all the way around
bobsleigh,noun,sledge for racing on snow
bodily,adjective,of the human body; physical
,adverb,by moving the whole of sb's body; by force
,adverb,in one piece; completely
bodyguard,,
boggle,verb,find sth difficult to imagine or accept
boiler,noun,"device in which water is heated, eg for the central heating in a house"
,noun,one-piece garment worn for doing dirty work
boiling,,
bomber,,
bona,,
bonfire,noun,large outdoor fire
bonnet,noun,cover over the engine of a motor vehicle
,noun,baby's or woman's hat tied under the chin
bony,adjective,full of bones
,adjective,very thin; having bones that are clearly seen
book,noun,The definition of book is a story or collection of stories that can be read.
,verb,To book is defined as to make reservations for something in advance.
bookcase,,
booking,,
bookish,,
bookkeeper,,
booklet,noun,small thin book with paper covers
bookrest,,
bookshelf,,
bookshop,,
bookstall,,
booming,,
booze,noun,alcoholic drink
,verb,"drink alcohol, esp in large quantities"
,noun,person who boozes
,noun,pub
,noun,"party, event, etc at which a lot of alcohol is drunk"
borderline,,
borrowing,,
botanical,,
botanist,,
bought,verb,The definition of bought means purchased.
bouillon,,
boundless,adjective,without limits
bowdlerize,,
bower,noun,"The definition of a bower is an area shaded by trees or other plants, a woman's private dressing room or a country cottage."
bowerbird,,
bowler,noun,(in cricket) person who bowls
,noun,man's hard round hat
bowling,noun,game in which heavy balls
box office,,
boxer,,
boxing,,
br.,,
bra,noun,piece of women's underwear worn to support the breasts
bracelet,noun,piece of jewellery worn around the wrist
brachiopod,,
bracket,noun,"either of a pair of marks, ( ), placed around extra information in a piece of writing"
,noun,wood or metal support for a shelf
,noun,group within particular limits
,verb,put sth in brackets
,verb,group sb/sth together
brackish,adjective,(of water) slightly salty
braggadocio,,
brainless,,
brand-new,adjective,The definition of brand-new is something that has never before been done or that has never been used before.
brandy,noun,strong alcoholic drink made from wine
brawn,noun,"The definition of brawn means developed muscles, or physical strength."
break,noun,"The definition of a break is a period of separation or a split, gap or fracture."
,verb,"Break means to smash, split or fracture or to not abide by rules or laws."
break down,,
break-in,noun,"The definition of a break in is an illegal entry into a house, building or vehicle."
,noun,A break in is defined as the first usage or experience with something.
break-through,,
break-up,,
breakaway,,
breakup,,
breakwater,noun,The definition of a breakwater is a barrier built in a body of water to break the force of waves and protect surrounding land.
breathing,,
breathless,,
breeder,,
brewery,,
bridal,adjective,of a bride or wedding
briefcase,,
briefly,,
brighten,,
brightness,,
brindled,,
bring,verb,The definition of bring means to carry or to cause to happen.
bristling,,
brit,,
Britain,,
British,,
briton,,
broadband,,
broadcaster,,
broadcasting,,
broaden,,
broadly,,
brocade,,
broccoli,noun,kind of cauliflower with dark green or purple flower heads
brokerage,,
bronchitis,noun,illness that affects the bronchial tubes
bronze,noun,metal that is a mixture of copper and tin
,noun,dark reddish-brown colour
,noun,something made of bronze; bronze medal
,verb,make bronze in colour
,noun,"medal awarded as third prize in a competition, esp a sports contest"
broom,noun,brush with a long handle for sweeping floors
brotherly,,
brought,verb,The definition of brought means something happened as a result of another action.
,verb,Brought means you carried someone or something to a place.
browbeat,verb,frighten sb into doing sth
brownish,,
brunette,noun,white-skinned woman with dark brown hair
brushwork,,
brutality,,
brutish,,
Buddhism,noun,"The definition of Buddhism is a religion and teachings of the Buddha, founded in India in the sixth century."
Buddhist,,
budgetary,adjective,The definition of budgetary is something related to a budget (the amount of money available or a financial plan for spending that money).
buffoonery,,
bugaboo,,
buggy,,
build-up,,
builder,,
building,noun,The definition of a building is a structure or the process of making a structure.
building society,,
built-in,,
bulky,,
bulldozer,,
bullfight,,
bullheaded,,
bullion,noun,gold or silver in large amounts or in the form of bars
bumper,noun,bar on the front and back of a motor vehicle to protect it from damage
,adjective,unusually large
bun,noun,small round sweet cake
,noun,(esp woman's) hair twisted round into a tight knot at the back of the head
bunk,noun,"narrow bed fixed to a wall, eg on a ship or train"
,noun,"one of a pair of beds fixed one above the other, usu for children"
,noun,run away
burger,,
burial,noun,act or ceremony of burying a dead body
burning,,
bursar,noun,person who manages the money in a school or college
bushy,,
businesswoman,,
but,adverb,The definition of but is only or merely.
,conjunction,"But means except for, unless or on the contrary."
,preposition,But is defined as with the exception of.
butter,noun,"yellow fatty food made from cream, spread on bread, etc"
,verb,spread butter on sth
,verb,flatter sb
,noun,wild plant with small yellow flowers
,noun,large vegetable with yellow skin and orange flesh that is shaped like a pear
,noun,hard pale brown sweet made by boiling sugar and butter together
buttock,noun,either of the two round soft parts at the top of a person's legs
buyer,,
buzzer,,
by,adverb,"The definition of by is in the immediate region, or to go past something."
,preposition,"By means near or next to, and it also means through which."
by-product,noun,substance produced during the process of making or destroying sth else
bye,noun,"The definition of bye is something that is not as important, or advancing to the next round in a competition without having to play an opponent."
byproduct,,
byword,noun,person or thing that is well known for a particular quality
,noun,common word or expression
cab,noun,taxi
,noun,"place where the driver sits in a bus, train or lorry"
cabaret,noun,singing and dancing provided in a restaurant or nightclub
cackle,noun,loud clucking noise that a hen makes
,noun,loud laugh
,verb,(of a chicken) make a loud unpleasant noise
,verb,(of a person) laugh noisily
cactus,noun,"plant that grows in hot dry regions, esp one with thick stems and prickles"
cadaverous,,
cadet,noun,young person training to become an officer in the police or armed forces
cage,noun,structure of bars or wires in which birds or animals are kept
,verb,put or keep an animal in a cage
calamitous,,
calculable,adjective,that can be calculated
calculated,,
calculating,,
calculation,,
calculator,,
calculus,,
calibration,,
calibre,noun,quality; ability
,noun,diameter of the inside of a tube or gun
call,verb,"To call is to make a sound intended to attract a person's attention, or is when an animal makes a special sound to attract other animals, or to use the telephone to contact someone."
caller,,
calling,noun,strong desire or feeling of duty to do a certain job
calorific,,
cameral,adjective,"The definition of cameral is of the chamber of a judge, legislative member, etc."
camper,,
campfire,,
Canada,,
Canadian,,
canary,noun,"small yellow bird, often kept in a cage as a pet"
candidacy,noun,"The definition of candidacy is the state of running for office, for a position or for an honor."
cane,noun,"hollow stem of certain plants, eg bamboo or sugar"
,noun,such stems used as a material for making furniture
,noun,"length of cane, etc, used as a support, for a plant or as a walking stick"
,noun,punishment of children by being hit with a cane
,verb,hit a child with a cane as a punishment
canker,noun,disease of trees
,noun,disease that causes ulcers
,noun,bad influence that spreads
cannery,,
cannibalism,,
cannibalize,,
cannon,noun,old type of large heavy gun firing solid metal balls
,noun,automatic gun firing shells
canoe,noun,light narrow boat which you move along in the water with a paddle
,verb,travel by canoe
,noun,person travelling in a canoe
cantata,,
canto,,
Cantonese,,
cantor,,
capital gains,,
capitalistic,,
capsize,verb,(cause a boat to) turn over in the water
capsule,noun,very small container of medicine that is swallowed
,noun,compartment for people or instruments in a spacecraft
capt,,
car park,,
carafe,noun,glass container in which water or wine is served
carapace,,
carat,noun,unit of weight for precious stones
,noun,unit for measuring the purity of gold
carbon dioxide,,
carbonate,,
carcase,,
carcinogenic,,
cardboard,noun,thick stiff kind of paper
cardiac,adjective,of the heart
cardigan,noun,knitted woollen jacket with buttons or a zip at the front
carefully,,
caribou,,
carillon,,
caring,adjective,The definition of caring is someone or something that shows kindness and concern for others.
carnation,noun,"white, pink or red flower, often worn as a decoration"
carol,noun,Christian religious song sung at Christmas
carousal,,
carpenter,noun,person whose job is to make and repair wooden objects
carpentry,,
carpet,noun,(piece of) thick woollen or artificial fabric for covering floors
,verb,cover sth with or as if with a carpet
carpeting,,
carping,,
carrion,adjective,The definition of carrion is relating to or eating dead or dying flesh.
,noun,Carrion is defined as dead or dying flesh.
carrot,noun,long pointed orange root vegetable
carry,verb,"To carry is to transport or support the weight of something or someone, or to assume responsibility for someone or something, or to walk and act in a certain manner."
