word,pos,definition
,adjective,using rude or cruel words
abysmal,adjective,very bad
abyss,noun,hole so deep that it seems to have no bottom
academic,adjective,"of (teaching or learning in) schools, colleges, etc"
,adjective,involving a lot of reading or studying rather than practical skills
,noun,"teacher at a university, college, etc"
academy,noun,school for special training
,noun,"society for people interested in the arts, etc"
accede,verb,"agree to a request, suggestion, etc"
accelerate,verb,(cause sth to) move faster
accent,noun,"individual, local or national way of speaking"
,noun,"mark written over or under a letter, eg the symbol on the"
,noun,special emphasis or force given to sth
,verb,put emphasis on sth
accentuate,verb,emphasize sth or make it more noticeable
accept,verb,"agree to take sth offered; say yes to an invitation, etc"
,verb,agree to sth; recognize or believe sth
access,noun,way into a place
,noun,opportunity or right to use sth
,verb,open a computer file in order to get or add information
,adjective,"easy to reach, use, etc"
accession,noun,act of becoming a ruler of a country
accessory,noun,something extra that is useful but not essential
,noun,person who helps another in a crime
accident,noun,"event that happens unexpectedly, esp causing injury or damage"
,noun,in a way that is not planned
acclaim,verb,praise or welcome sb/sth publicly
,noun,enthusiastic welcome or approval
acclimatize,verb,get used to a new climate or new conditions
accolade,noun,praise or approval
accommodate,verb,provide sb with a place to live
,verb,do a favour to sb; oblige sb
accommodation,noun,"room(s), esp for living in"
accompaniment,noun,music played to support a singer or another instrument
,noun,"something that you eat, drink or use together with sth else"
accompanist,noun,person who plays music to support a singer or another instrument
accompany,verb,go somewhere with sb
,verb,happen or appear with sth else
,verb,play music to support a singer or another instrument
accomplice,noun,person who helps another do sth wrong
accomplish,verb,succeed in doing sth
accord,noun,in agreement with sth/sb
,noun,without being asked or forced
,verb,agree with or match sth
accordance,noun,in agreement with sth
accordingly,adverb,because of sth just mentioned; for that reason
according to,preposition,as stated by sb; as shown in sth
,preposition,following or agreeing with sth
,preposition,in proportion to
accordion,noun,musical instrument with bellows and a keyboard
accost,verb,"go up to and speak to sb, esp a stranger"
account,noun,arrangement that sb has with a bank to keep money there
,noun,written record of money that is owed to a business and of money that has been paid by it
,noun,written or spoken description of sth that has happened
,noun,regular customer
,noun,"arrangement that sb has with a company that allows them to use the Internet, send emails, etc"
,noun,not important
,noun,because of sth
,noun,not for any reason
,noun,"consider particular facts, etc when making a decision about sth"
,verb,be an explanation of sth
,verb,give an explanation of sth
,verb,be a particular amount or part of sth
,adjective,responsible
accountant,noun,person whose job is to keep or check financial accounts
accredited,adjective,officially recognized
accrue,verb,come as an (esp financial) increase
accumulate,verb,become or make sth greater in quantity over a period of time
accurate,adjective,exact; correct
accusation,noun,statement accusing sb of having done sth wrong
accuse,verb,say that sb has done wrong
accustom,verb,make yourself/sb get used to sth
ace,noun,playing card with a large single symbol on it
,noun,person who is extremely skilled
,noun,(in tennis) serve that is so good that your opponent cannot reach the ball
ache,verb,feel a continuous dull pain
,verb,want sth very much
,noun,常构成复合词/
,noun,continuous dull pain in a part of the body
achieve,verb,gain or reach sth by effort; get sth done
Achilles heel,noun,"weak point or fault in sb's character, which can be attacked by other people"
,noun,tendon joining the muscles at the back of the leg to the heel
acid,noun,substance that contains hydrogen and has a pH of less than seven
,adjective,sour
,adjective,(of remarks) very unkind
,noun,"rain containing harmful chemicals that kills trees, crops, etc"
,noun,way of deciding whether sth is successful or true
acknowledge,verb,accept that sth is true
,verb,accept that sb/sth has a particular authority or status
,verb,tell sb that you have received sth (eg a letter)
,verb,show that you have noticed sb
,verb,publicly express thanks for help you have been given
acne,noun,spots on the face and neck
acorn,noun,fruit of the oak tree
acoustic,adjective,of sound
acquaint,verb,make sb/yourself familiar with sth
acquiesce,verb,accept sth without protest
acquire,verb,"gain sth by your own ability, efforts, etc; obtain sth"
acquit,verb,declare that sb is not guilty
,verb,behave in the way that is stated
acre,noun,measure of land; 4840 square yards (about 4050 square metres)
acrid,adjective,(esp of smell or taste) sharp or bitter
acrimonious,adjective,(esp of quarrels) bitter
acrobat,noun,"person who can do skilful physical acts, eg walking on a rope, esp at a circus"
acronym,noun,"word formed from the first letters of a name, eg"
across,preposition,from one side to the other side
,preposition,on the other side of sth
acrylic,adjective,made of a substance or fabric produced by chemical processes from a type of acid
act,verb,do sth; behave
,verb,perform a part in a play or film
,verb,perform a particular role or function
act,noun,particular thing that sb does
,noun,law made by a government
,noun,way of behaving that is not sincere
,noun,main division of a play
,noun,one of a series of short performances
,noun,event caused by natural forces beyond human control (eg a storm)
,noun,while you are doing sth
action,noun,process of doing sth
,noun,something sb does
,noun,"legal process to stop sb from doing sth, to make them pay for a mistake, etc"
,noun,fighting in war
,noun,"events in a story, play, etc"
,noun,exciting events
,noun,what a person actually does means more than what they say they will do
,noun,into operation
,noun,no longer working
activate,verb,start sth working
active,adjective,doing things; busy or energetic
,adjective,"of the verb form used when the subject of a sentence does the action, as in She"
,noun,active
activist,noun,person who works to achieve political or social change
activity,noun,situation in which sth is happening or a lot of things are being done
,noun,something you do for interest or pleasure
actor,noun,"person who acts in plays, films, etc"
actual,adjective,existing in fact; real
acumen,noun,ability to understand and judge things clearly
acupuncture,noun,treatment of illness by sticking small needles into the body
acute,adjective,very great; severe
,adjective,very sensitive
,noun,"mark written over a letter, as over the"
,noun,angle of less than 90
AD,abbreviation,(in the Christian calendar) since the birth of Jesus Christ
adamant,adjective,refusing to change your opinion
Adam's apple,noun,lump at the front of the throat
adapt,verb,make sth suitable for a new use
,verb,change your behaviour to deal with a new situation
add,verb,put sth together with sth else
,verb,put numbers together to get a total
,verb,say sth more
,verb,seem reasonable; make sense
,verb,calculate the total of two or more numbers
,verb,result in sth; show sth
adder,noun,small poisonous snake
addict,noun,"person who cannot stop taking drugs, alcohol, etc"
,noun,person strongly interested in sth
addition,noun,process of adding numbers together to find their total
,noun,thing that is added to sth else
,noun,"as an extra person, thing, etc"
additive,noun,"substance added to sth, esp food"
address,noun,"details of where sb lives or works and where letters, etc can be sent"
,noun,formal speech
,verb,write a name and address on sth
,verb,give a speech to sb
adept,adjective,skilled at (doing) sth
adequate,adjective,enough; satisfactory
adhere,verb,stick firmly to sth
,verb,"act according to a law, rule, etc; follow a set of beliefs"
adhesive,adjective,able to stick to sth
,noun,"substance, eg glue, that makes things stick together"
ad hoc,adverb,made or arranged for a particular purpose; not planned
adjacent,adjective,next to sth
adjective,noun,"word that describes a noun, eg"
adjoin,verb,be next to
adjourn,verb,"stop a meeting for a time, esp in a court of law"
adjudicate,verb,make an official decision or judgement on sth
adjunct,noun,"adverb or phrase that adds meaning to the verb, eg"
,noun,thing that is attached to sth larger or more important
adjust,verb,change or correct sth to make it right
,verb,get used to a new situation
ad lib,adverb,"spoken, performed, etc without preparation"
,verb,"speak, perform, etc without preparation"
administer,verb,control or manage sth
,verb,give sth
admirable,adjective,deserving admiration; excellent
admiral,noun,officer of very high rank in the navy
admire,verb,have a good opinion of sb/sth; look at sb/sth with pleasure
admissible,adjective,that can be allowed
,adjective,acceptable
admission,noun,"entering or being allowed to enter a building, school, etc"
,noun,money charged for being admitted to a public place
,noun,statement that sth is true; confession
admit,verb,allow sb/sth to enter; let sb/sth in
,verb,agree that sth bad is true
admonish,verb,tell sb firmly that they have done sth wrong
ad nauseam,adverb,so often as to become annoying
ado,noun,trouble; delay
adolescent,noun,(of a) young person who is developing from a child into an adult
adopt,verb,"take sb else's child into your family, making them legally your son or daughter"
,verb,"take and use a method, way of life, etc"
adore,verb,love sb very much
,verb,like sth very much
adorn,verb,decorate sth/sb
adrenalin,noun,"substance produced in the body by anger, fear, etc and which makes the heart beat faster"
adrift,adjective,(of boats) floating freely; not fastened
adulation,noun,too much praise or admiration
adult,adjective,(person or animal) grown to full size or strength
adulterate,verb,make food or drink less pure by adding another substance
adultery,noun,sex between a married person and sb who is not their husband or wife
advance,noun,forward movement; progress
,noun,money paid for work before it has been done
,noun,attempts to start a sexual relationship with sb
,noun,before the time that is expected
,adjective,done or given before sth
,verb,move forward
,verb,give sb money before the time it would usu be paid
,adjective,"having the most modern and recently developed ideas, etc"
,adjective,at a high or difficult level
,adjective,very old
,noun,act of advancing; progress or promotion
advantage,noun,something useful that puts you in a better or more favourable position than other people
,noun,quality that makes sth better or more useful
,noun,make good use of sth (eg an opportunity)
,noun,make use of sb/sth in a way that is unfair or dishonest to get what you want
advent,noun,the coming of an important event
adventure,noun,exciting or dangerous journey or experience
,noun,excitement; risk
adverb,noun,"word that adds information to a verb, adjective, phrase, or another adverb, eg"
adversary,noun,enemy; opponent
adverse,adjective,negative and unpleasant
advertise,verb,"make sth, esp sth for sale, known to people by notices in newspapers, etc"
advice,noun,opinion given to sb about what they should do
advise,verb,give advice to sb
,verb,inform sb about sth
advocate,noun,person who speaks in favour of sb (esp in a law court) or an idea
,verb,support sth publicly
aerial,adjective,"in, through or from the air"
,noun,wire or rod that receives television or radio signals
aerobatics,noun,skilful and exciting movements performed by aircraft
aerobics,noun,physical exercise done to strengthen the heart and lungs
aerodynamics,noun,science which deals with the forces that act on objects moving through the air
aeronautics,noun,scientific study or practice of flying aircraft
aeroplane,noun,flying vehicle with wings and one or more engines
aerosol,noun,small container from which a liquid is forced out as a fine spray
aerospace,noun,industry of building aircraft and equipment to be sent into space
aesthetic,adjective,concerned with (the enjoyment of) beauty
afar,adverb,from a long distance away
affable,adjective,friendly and easy to talk to
affair,noun,important public or political events
,noun,event that people are talking about
,noun,"sexual relationship between two people, when one of them is married to sb else"
,noun,private business and financial matters
,noun,something that sb is responsible for
affect,verb,have an influence on sb/sth
affection,noun,feeling of love; fondness
affidavit,noun,sworn written statement used as evidence
affiliate,verb,(esp of an organization) join a larger organization
affinity,noun,close relationship
,noun,strong liking
affirm,verb,state or declare that sth is true
affix,verb,stick or attach sth to sth else
,noun,"prefix or suffix, eg"
afflict,verb,cause pain or trouble to sb/sth
affluent,adjective,rich; wealthy
afford,verb,have enough money or time for sth
,verb,be able to do sth without risk to yourself
affront,verb,insult or offend sb
,noun,insult
afield,adverb,far away from home
afloat,adjective,floating on water
,adjective,"(of a business, etc) able to pay its debts"
afoot,adjective,being planned; happening
aforementioned,adjective,mentioned earlier
afraid,adjective,frightened of sb/sth or that sth bad will happen
,adjective,I'm sorry
afresh,adverb,again
after,preposition,later than sth
,preposition,following sth/sb
,preposition,because of sth
,preposition,searching for sth or chasing sb
,preposition,in spite of sth
,preposition,in the style of sb/sth; following the example of sb/sth
,preposition,in spite of what has been said or expected
,conjunction,later in time (than sth)
,noun,(esp unpleasant) effect that is experienced later
,noun,idea that comes later
aftermath,noun,result of a war or other bad event
afternoon,noun,part of the day from 12 midday until about 6 o'clock
afterwards,adverb,at a later time
again,adverb,once more; another time
,adverb,to or in the original place or condition
,adverb,in addition
against,preposition,in contact with
,preposition,opposing
,preposition,in contrast to
,preposition,in order to prevent sth from happening or causing harm
age,noun,length of time sb has lived or sth has existed
,noun,state of being old
,noun,period of history
,noun,very long time
,noun,become an adult in law
,noun,not legally old enough
,noun,people of a similar age
,noun,oldest or youngest age at which you are allowed to do sth
,adjective,having existed for a very long time
age,verb,(cause sb to) become old
agency,noun,business or organization that provides a particular service esp on behalf of other businesses or organizations
agenda,noun,list of things to be discussed at a meeting
agent,noun,person who arranges business for other people
,noun,"person who finds work for an actor, a musician, etc"
,noun,person or thing that has an important effect on a situation
aggravate,verb,make sth worse
,verb,annoy sb
aggregate,noun,total amount
aggression,noun,angry feelings
,noun,violent attack or threats by one country against another
aggressive,adjective,having angry feelings
,adjective,behaving in a very forceful and determined way in order to succeed
aggrieved,adjective,"feeling angry and bitter, esp because of unfair treatment"
aghast,adjective,filled with horror or shock
agile,adjective,able to move quickly and easily
agitate,verb,make sb anxious or nervous
,verb,argue publicly in favour of/against sth
,verb,shake a liquid strongly
aglow,adjective,bright with colour or excitement
AGM,abbreviation,"annual general meeting; meeting held once a year by a company, club, etc"
agnostic,adjective,(person who is) not sure whether God exists or not
ago,adverb,before now
agog,adjective,excited and very interested to find out sth
agonize,verb,spend a long time thinking and worrying about sth
agony,noun,great pain
,noun,"person who writes in a newspaper, etc giving advice in reply to people's letters about their personal problems"
agoraphobia,noun,fear of being in public places where there are a lot of people
agrarian,adjective,"of land, esp farmland"
agree,verb,have the same opinion as sb
,verb,be willing to do sth; say yes to sth
,verb,decide sth
,verb,approve of or accept sth
,verb,be the same as sth; match
,verb,"(of verbs, etc) have the same number, person, etc as another word in the same sentence"
,verb,have the same opinion about sth
,verb,(of food) make you feel ill
agriculture,noun,science or practice of farming
agritourism,noun,holidays in which tourists stay with local people who live in the countryside
agrochemical,noun,any chemical used in farming
agronomist,noun,scientist who studies the relationship between crops and the environment
aground,adjective,(of ships) touching the ground in shallow water
ahead,adverb,further forward in space or time
,preposition,further forward in space or time than
,preposition,further advanced than
AI,abbreviation,artificial insemination
,abbreviation,artificial intelligence
aid,noun,"food, money, etc sent to a country in need"
,noun,help
,noun,thing or person that helps
,noun,used to ask why sth is happening
,verb,help sb/sth
,verb,help or encourage sb to do wrong
aide,noun,assistant to sb with an important government job
Aids,abbreviation,Acquired Immune Deficiency Syndrome; serious illness which destroys the body's ability to fight infection
ailing,adjective,ill and not improving
aim,verb,direct your efforts at sth; plan to achieve
,verb,point a weapon or object towards sth
,verb,"direct a comment, etc at sb"
,noun,purpose; intention
,noun,action of pointing a weapon at sb/sth
,adjective,having no purpose
ain't,adverb,用于不标准的口头英语/
air,noun,mixture of gases that we breathe
,noun,earth's atmosphere
,noun,impression or appearance
,noun,"way of behaving that shows that sb thinks that they are more important, educated, etc than they really are"
,noun,felt by a number of people to exist or be happening
,noun,broadcasting/not broadcasting on television or the radio
,noun,not yet decided
,noun,"safety device in a car that fills with air if there is an accident, to protect the people in the car"
,adjective,(of a plane or passengers) in the air
,adjective,carried through the air
,noun,system of machines that supply a room or building with cool dry air
,noun,any vehicle that can fly and carry goods or passengers
,noun,large ship that carries aircraft which use it as a base to land on and take off from
,noun,area of open ground where aircraft can take off and land
,noun,part of a country's military forces that is organized for fighting in the air
,noun,woman whose job is to look after the passengers in an aircraft
,noun,transport of people or supplies by air
,noun,company that carries passengers or goods by plane
,noun,large passenger plane
,noun,"system of sending letters, etc by air"
,noun,officer of very high rank in the British Air Force
,noun,"place where aircraft land and take off, with buildings for passengers to wait in, etc"
,noun,attack by aircraft
,noun,"large aircraft without wings, filled with a gas which is lighter than air, and driven by engines"
,noun,"part of the earth's atmosphere above a country, considered to belong to that country"
,noun,piece of land cleared for aircraft to take off and land
,noun,building at an airport that provides services for passengers travelling by plane
,adjective,not allowing air to get in or out
,adjective,(fired) from one aircraft to another while flying
,noun,person whose job is to give radio instructions to pilots about taking off and landing
,noun,passage from the nose and throat to the lungs
,adjective,(of an aircraft) safe to fly
air,verb,"put clothes, etc in a warm place to dry completely"
,verb,let fresh air into a room
,verb,express your opinions publicly
,noun,"warm cupboard for drying clean sheets, towels, etc"
airless,adjective,not having enough fresh air
airy,adjective,with plenty of fresh air because there is a lot of space
,adjective,not serious
aisle,noun,"passage between rows of seats in a theatre, church, plane, etc or between shelves in a supermarket"
ajar,adjective,(of a door) slightly open
akin,adjective,similar to
a la carte,adjective,(of a restaurant meal) ordered as separate items from the menu and not as a fixed price for the complete meal
alacrity,noun,great willingness or enthusiasm
alarm,noun,"sudden feeling of fear, caused by danger"
,noun,(device that gives a) warning sound
,verb,make sb anxious or afraid
,noun,clock that can be set to make a noise at a particular time to wake you up
,adjective,causing fear
alas,interjection,used to show you are sad or sorry
albatross,noun,large white seabird
albeit,conjunction,although
albino,noun,person or animal with white skin and hair and pink eyes
album,noun,"book in which a collection of photographs, stamps, etc can be kept"
,noun,long-playing record
alcohol,noun,"(pure colourless liquid in) drinks such as beer, wine and whisky"
alcove,noun,small area in a room formed by part of the wall being set back
ale,noun,kind of strong beer
alert,adjective,fully awake and ready to act
,noun,situation in which people are ready to deal with possible danger
,noun,warning of danger
,verb,warn sb of danger
algae,noun,mass of very simple plants that are mainly found in water
algebra,noun,branch of mathematics in which letters represent quantities
algorithm,noun,process or set of rules that must be followed when solving a particular problem
alias,noun,"false name, used esp by a criminal"
,adverb,also (falsely) called
alibi,noun,evidence that proves that sb was somewhere else when a crime was committed
alien,noun,person who is not a citizen of the country in which they live or work
,noun,creature from another world
,adjective,strange and frightening
,adjective,foreign
alienate,verb,cause sb to become unfriendly
alight,adjective,on fire
,verb,"get off a bus, etc"
,verb,(of a bird) come down from the air and settle
align,verb,place sth in a straight line
,verb,join or publicly support sb/sth
alike,adjective,like one another
alimentary canal,noun,passage in the body that carries food from the mouth to the anus
alimony,noun,money that sb has to pay regularly to a former wife or husband after they have been divorced
alive,adjective,living
,adjective,excited; lively
,adjective,continuing to exist
,adjective,aware of sth
,adjective,full of living things
alkali,noun,substance that forms a salt when combined with an acid
all,pronoun,the whole of a thing or of a period of time
,pronoun,every one of a group
,pronoun,the only thing that; everything that
,pronoun,any whatever
,pronoun,when everything is considered
,pronoun,(not) in any way
,pronoun,as a total
,pronoun,used as a polite reply when receiving thanks
,adverb,completely
,adverb,used to show that sth is more than you would like
,adverb,(in games) to each side
,adverb,all the time
,adverb,"so much better, harder, etc"
,adverb,very tired
,adverb,everywhere
,adverb,having a healthy mind; thinking clearly
,adverb,believe strongly that sth should be done
,adverb,not be important to sb
,adverb,"not very good, etc"
,noun,signal that the danger has ended
,adjective,with everything included
,adjective,using all possible strength
,adverb,
,noun,person with a wide range of abilities
Allah,noun,name of God among Muslims
allay,verb,"make fears, doubts, etc less"
allegation,noun,"statement that is made without proof, accusing sb of doing wrong"
allege,verb,state sth as a fact but without proof
allegiance,noun,"support or loyalty to a ruler, belief, etc"
allegory,noun,story in which people are symbols of qualities such as truth or patience
alleluia,interjection,expression of praise to God
allergy,noun,medical condition that causes you to react badly or feel ill when you eat or touch a particular substance
alleviate,verb,make pain or suffering less
alley,noun,narrow passage between or behind buildings
alliance,noun,"relationship or agreement between countries, groups, etc to work together for the same purpose"
allied,adjective,of countries that unite to fight a war together
,adjective,connected to sth; similar
alligator,noun,large reptile of the crocodile family that lives in rivers and lakes in America and China
alliteration,noun,"use of the same letter or sound at the beginning of words that are close together, as in"
allocate,verb,give sth officially for a particular purpose
allot,verb,give sth as a share
allow,verb,give permission to sb to do sth; let sth be done
,verb,make sure you have enough of sth for a particular purpose
,verb,include sb/sth when calculating sth
alloy,noun,mixture of metals
all right,adverb,satisfactory; in a satisfactory manner
,adverb,safe and well
,adverb,that can be allowed
,interjection,showing that you agree to do what sb has asked
allude,verb,mention sb/sth indirectly
alluring,adjective,attractive; charming
ally,noun,person or country that has agreed to support another
,verb,give your support to another group or country
almanac,noun,"book published every year with information about the sun, moon, tides, etc"
almighty,adjective,very great
almond,noun,flat pale sweet nut of the almond tree
almost,adverb,very nearly
alms,noun,"money, clothes, etc given to poor people"
aloft,adverb,high up in the air
alone,adverb,without other people
,adverb,only
,adverb,do sth without help from anyone
along,preposition,from one end to the other end of sth
,preposition,close to or on
,adverb,on; forward
,adverb,with others
,adverb,together with sb/sth
,preposition,close to the side of sth
aloof,adjective,not friendly or interested in other people
aloud,adverb,in a voice loud enough to be heard
alphabet,noun,"set of letters arranged in order, used when writing a language"
already,adverb,before now
,adverb,earlier than expected
Alsatian,noun,"large dog, often trained to help the police"
also,adverb,in addition; too
altar,noun,table used in a religious service
alter,verb,(cause sb/sth to) become different; change sb/sth
alternate,adjective,(of two things) happening or following one after the other
,adjective,every second
,verb,(cause things or people to) follow one another in a repeated pattern
,noun,electric current that regularly changes direction
alternative,adjective,that may be used or done instead
,adjective,not based on the usual methods or standards
,noun,thing that you can choose to do out of two or more possibilities
alternator,noun,"device, used esp in a car, that produces an alternating current"
although,conjunction,though
altitude,noun,height above sea level
alto,noun,(music for a singer with the) highest adult male or lowest female voice
,noun,musical instrument with the second highest range of notes in its group
altogether,adverb,completely
,adverb,including everything
altruism,noun,fact of caring about the needs of other people more than your own
aluminium,noun,"light silver-grey metal used for making pans, etc"
always,adverb,at all times
,adverb,for ever
Alzheimer's disease,noun,"serious disease, esp affecting older people, that prevents the brain from functioning normally"
a.m.,abbreviation,between midnight and midday
amalgamate,verb,(cause two or more things to) join together to form one
amass,verb,"collect sth, esp in large quantities"
amateur,noun,"person who does sth as a hobby, without receiving money for it"
amaze,verb,surprise sb greatly
ambassador,noun,official who represents his/her own country in a foreign country
amber,noun,hard yellowish-brown substance used for making jewels
,noun,yellowish-brown colour
ambidextrous,adjective,able to use the right hand and left hand equally well
ambiguous,adjective,having more than one meaning
ambition,noun,strong desire to be successful
,noun,something you want to do very much
ambivalent,adjective,having or showing both good and bad feelings about sth/sb
amble,verb,walk at a slow relaxed speed
ambulance,noun,vehicle for carrying sick people to hospital
ambush,noun,(waiting in a hidden position to make a) sudden attack
,verb,attack sb/sth from a hidden position
amen,interjection,"used at the end of a prayer, meaning may it be so"
amenable,adjective,willing to be guided by sth or to do sth
amend,verb,change sth slightly in order to correct it
amends,noun,do sth for sb to show that you are sorry for sth wrong or unfair you have done
amenity,noun,feature that makes a place pleasant or easy to live in
American,noun,"person from America, esp the USA"
,noun,"American game of football, similar to rugby"
amethyst,noun,purple semi-precious stone
amiable,adjective,pleasant and friendly
amicable,adjective,friendly and peaceful
amid,preposition,in the middle of; among
amiss,adverb,wrong; not as it should be
,adverb,be offended by sth
ammonia,noun,"gas with a strong smell, used in making explosives, fertilizers, etc"
ammunition,noun,"supply of bullets, bombs, etc, fired from weapons"
amnesia,noun,loss of memory
amnesty,noun,"general pardon, esp for political offences"
amniocentesis,noun,medical test performed on a pregnant woman in order to find out if the baby has particular illnesses
amoeba,noun,very small living creature consisting of only one cell
among,preposition,surrounded by
,preposition,in the number of; included in
,preposition,used when you are sharing sth between people
amorous,adjective,showing (esp sexual) love
amount,noun,total or quantity
,verb,add up to or be equal to sth
amp,noun,unit for measuring electric current
ampersand,noun,the symbol (&) used to mean and
amphetamine,noun,illegal drug that makes you feel excited and full of energy
amphibian,noun,"animal, eg a frog, that can live both on land and in water"
amphitheatre,noun,round building without a roof and with rows of seats rising round an open space
ample,adjective,(more than) enough
amplify,verb,"increase sth in strength, esp sound"
,verb,add details to sth
amplitude,noun,"greatest distance that a wave, esp a sound or radio wave, vibrates (= moves up and down)"
amputate,verb,cut off an arm or a leg
amulet,noun,"object worn to protect you from evil, etc"
amuse,verb,make sb laugh or smile
,verb,make time pass pleasantly for sb
anachronism,noun,person or thing thought to be out of date
anaemia,noun,"lack of red cells in the blood, causing a person to look pale"
anaerobic,adjective,not needing oxygen
,adjective,(of physical exercise) not esp designed to improve the function of the heart and lungs
anaesthesia,noun,state of being unable to feel pain
anagram,noun,word made by changing the order of the letters of another word
analgesic,noun,substance that reduces pain
analogue,adjective,(of an electronic process) using a continuously changing range of physical quantities to measure or store data
,adjective,(of a clock or watch) showing the time using hands on a dial and not with a display of numbers
analogy,noun,comparison of one thing with another that has similar features
,noun,explaining one thing by comparing it to sth else
analyse,verb,"examine or study sth, esp by separating sth into its parts"
analysis,noun,study of sth by examining its parts
,noun,result of such study
anarchy,noun,absence of government; disorder
anatomy,noun,(study of the) structure of human or animal bodies
ancestor,noun,person in your family who lived a long time ago
anchor,noun,heavy piece of metal lowered from a ship into the water in order to stop the ship from moving
,verb,lower a ship's anchor to stop it from moving
,noun,place where ships may anchor safely
anchovy,noun,small fish with a strong salty flavour
ancient,adjective,belonging to times long ago
,adjective,very old
ancillary,adjective,giving support; additional
and,conjunction,also; in addition to
,conjunction,then; following this
,conjunction,as a result of this
,conjunction,used between repeated words to show that sth is repeated or continuing
,conjunction,used instead of
anecdote,noun,short interesting story about a real person or event
anemone,noun,small plant with colourful flowers
anew,adverb,again
angel,noun,messenger of God
,noun,beautiful or very kind person
anger,noun,feeling that makes people want to quarrel or fight
,verb,make sb angry
angina,noun,very bad pain in the chest caused by a low supply of blood to the heart
angle,noun,space between two lines that meet
,noun,corner
,noun,point of view
,noun,not straight
,verb,move or place sth so that it is not straight or not directly facing sb/sth
,verb,"present information, etc from a particular point of view"
